식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
곡류,귀리,11.43,3.68,1,1.22,1.63,2.18,3.87,11.53,35.6,46.16,57.59,37
곡류,"메밀국수/냉면국수,말린것",36.35,8.42,0.21,1.01,5.39,7.47,13.23,34.44,138.61,158.77,173.05,24
곡류,밀가루,17.13,1.71,0.06,0.14,0.72,1.96,7.84,23.43,47.89,61.46,122.67,177
곡류,"부침가루,튀김가루,믹스",10.2,3.58,0.1,0.2,0.25,0.74,2.02,6.12,15.36,76.1,82.16,49
곡류,빵가루,13.7,1.8,0,0.02,0.39,3.14,9,17.27,37.52,42.79,51.85,77
곡류,"국수,말린것",59.88,8.82,1.29,7.92,9.21,13.38,31.31,82.65,150.47,178.98,272.66,73
곡류,"국수,삶은것",39.92,3.25,1.7,4.53,9.22,20.8,29.45,46.76,73.32,89.42,144.69,36
곡류,라면,89.07,5.26,8.49,23.4,28.65,41.91,74.11,109.81,169.89,228.05,267.39,153
곡류,우동,106.79,10.41,5.08,6.9,19.92,45.8,67.39,163.9,231.37,238.99,305.29,31
곡류,"국수,생면",252.44,16.13,6.51,11.69,35.14,129.7,284.69,321.76,402.19,416.49,427.93,29
곡류,"빵,기타",85.83,12.39,10.4,21.75,27.29,35.59,51.42,129.75,189.58,216.67,239.18,24
곡류,"과자,비스켓,쿠키",33.43,3.98,2,2.61,4.04,10,19.5,36.83,66.29,84.33,272.93,81
곡류,"과자,스낵과자",40.07,5.45,0.1,0.56,1.42,6.51,18.6,72.78,95.92,132,151.71,81
곡류,"빵,잼,팥소등",149.72,10.19,25.23,33.62,50.4,82.26,113.01,165.3,269.5,344.41,619.24,51
곡류,"빵,식빵",112.67,10.01,7.7,18.75,21.58,43.56,93.49,151.17,251.75,287.13,348.55,71
곡류,초코파이,39.71,1.68,18,18.08,20.82,27.63,32,39.02,68.28,71.64,73.53,22
곡류,케이크,126.63,10.06,2.3,3.41,17.64,31.64,71.8,170.51,229.82,326.86,404.49,27
곡류,햄버거,278.44,15.3,63.6,144.63,157.3,207.67,279.72,332.07,406.98,409.2,414.66,25
곡류,보리,18.4,2.19,0.93,1.75,2.43,4.57,11.13,21.2,39.86,63.26,108.33,144
곡류,수수,3.9,0.34,0.03,0.35,0.42,0.83,2.23,5.45,9.92,10.41,12.15,27
곡류,시리얼,29.93,2.36,0.09,0.24,3.92,17.05,26.42,44.3,54.08,58.28,69.27,36
곡류,현미,15.07,2.39,0.06,0.57,1.27,2.92,7.78,16.16,38.38,59.83,111.73,121
곡류,백미,138.33,4.81,7.21,26.04,40.22,65.55,114.69,186.91,252.92,307.84,508.83,567
곡류,찹쌀,15.55,1.28,0.07,0.64,1.17,3.65,9.54,19.62,39.62,52.82,68.19,158
곡류,밥,124.74,9.52,2.52,13.97,18.41,58.28,107.59,198.15,227.79,276.29,340.58,109
곡류,"떡,가래떡/백설기",58.93,10.56,0.49,0.93,1.86,6.01,28.7,77.01,103.13,150.79,404.93,146
곡류,옥수수,20.01,6.1,0.17,0.44,0.57,0.95,3.81,20.43,65.46,108.02,117,58
곡류,조,1.73,0.13,0.02,0.07,0.14,0.59,1.03,2.17,3.05,4.08,9.86,77
곡류,만두,79.17,10.95,0.06,0.33,3.29,14.69,54.81,106.45,209.64,216.72,309.54,66
감자류,감자,42.12,6.17,0.02,0.63,2.09,6.82,21.27,50.36,87.7,139.82,292.86,204
감자류,감자칩,35.44,1.82,2.51,8.03,8.19,12.9,32.48,56.29,58.74,59.37,59.87,21
감자류,감자튀김,48.86,4.21,0.7,2.05,6.52,26.08,36.14,60.4,91,101.22,106.65,31
감자류,고구마,94.36,20.87,0.3,0.3,0.62,4.88,21.71,99.69,276.87,396.25,628.09,52
감자류,전분,10.93,1.82,0.03,0.03,0.09,0.94,4.61,12.34,26.07,33.71,82.2,81
