식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
곡류,귀리,5.62,1.23,0.77,0.77,0.77,2.25,3.36,5.39,13.01,17.38,21.19,24
곡류,"메밀국수/냉면국수,생것",87.08,9.98,8.57,11.55,20.91,25.62,56.86,120.86,155.73,256.56,301.35,25
곡류,"메밀국수/냉면국수,삶은것",31.53,6.06,3.59,3.59,3.6,10.1,23.41,34.36,43.45,52.34,138.74,20
곡류,"메밀국수/냉면국수,말린것",75.11,9.97,1.38,1.76,2.34,4.11,15.54,161.35,193.72,203.74,211.76,32
곡류,밀가루,26.77,4.31,0.08,0.57,1.21,2.71,10.13,30.7,84.58,110.46,193.76,190
곡류,"부침가루,튀김가루,믹스",14.03,1.89,0.05,0.12,0.35,1.26,4.24,10.8,31.51,39.02,155.78,33
곡류,빵가루,11.65,1.24,0.09,0.73,1.05,3.75,7.58,16.27,25.29,34.96,41.94,77
곡류,"국수,말린것",61.85,5.74,2.51,10.34,17.03,25.54,43.84,83.07,123.36,143.04,280.74,58
곡류,"국수,삶은것",63.05,5.49,0.56,1.62,10.91,29.66,54.62,75.55,131.25,134.6,140.54,36
곡류,라면,88.61,6.39,2.45,12.19,25.48,47.02,78.56,109.77,126.29,207.59,305.38,143
곡류,우동,118.59,25.28,1.08,1.08,2.3,14.25,64.48,164.69,270.34,288.43,445.57,28
곡류,"국수,생면",171.77,20.02,42.29,50.84,64.86,92.88,136.25,211.56,265.29,353.85,460.54,21
곡류,"과자,비스켓,쿠키",44.84,3.78,3.31,6.84,8.68,16.92,33.48,53.88,80.19,125.73,212.15,110
곡류,샌드위치,198.16,11.95,5.67,13.28,41.75,141.01,175.25,268.03,330.16,370.85,401.8,44
곡류,"과자,스낵과자",28.15,5.13,0.53,1.24,2.07,4.17,12.3,38.28,87.99,101.52,127.88,63
곡류,"빵,잼,팥소등",114.53,12.13,16.16,16.58,17.12,43.82,83.79,132.6,252.46,284.7,343.54,33
곡류,"빵,식빵",88.63,13.24,9.5,12.54,19.89,34.28,52.09,101.36,178.85,285.95,426.78,73
곡류,케이크,114.1,20.48,0.6,5.07,9.55,26.49,87.29,142.23,211.54,358.9,465.72,27
곡류,보리,13.59,1.62,0.34,0.63,1.86,4.57,7.65,15.24,29.01,47.47,70.53,105
곡류,시리얼,40.74,3.66,0.18,0.99,7.22,19.16,26.86,44.7,72.5,121,148.84,30
곡류,현미,12.69,1.7,0.02,0.78,1.44,3.58,7.48,13.16,23.96,42,78.5,143
곡류,백미,125.37,4.07,5.87,26.64,41.04,66.67,107.24,163.85,229.89,278.94,393.01,553
곡류,찹쌀,9.54,0.93,0.04,0.27,0.34,2.29,4.62,12.13,20.26,32.36,58.26,109
곡류,밥,151.86,11.43,7.92,29.14,50.99,84.84,134.73,207.91,225.06,270.51,501.6,116
곡류,"떡,가래떡/백설기",50.6,6.35,1.07,2.09,2.76,5.17,27.36,79.34,125,142.5,215.69,105
곡류,옥수수,30.15,7.48,0.33,0.49,0.62,1.92,12.49,23.36,77.5,112.73,226.07,54
곡류,조,2.56,0.49,0,0.05,0.1,0.39,1,2.91,6.7,9.79,16.68,66
곡류,당면,10.86,1.21,0.23,0.61,1.06,2.61,5.42,17.7,24.02,33.2,39.43,76
곡류,단호박,10.22,2.78,0.18,0.32,0.4,0.5,2.03,5.3,37.75,50.81,58.22,31
