식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
곡류 및 그 제품,귀리,0.18,0.02,0.02,0.02,0.03,0.05,0.14,0.28,0.35,0.39,0.51,32
곡류 및 그 제품,밀가루,0.44,0.05,0,0.01,0.01,0.05,0.19,0.5,1.24,1.78,2.85,137
곡류 및 그 제품,"부침가루,튀김가루,믹스",0.39,0.03,0,0,0.01,0.02,0.05,0.28,0.7,1.87,3.16,28
곡류 및 그 제품,빵가루,0.18,0.02,0,0,0.02,0.05,0.11,0.26,0.37,0.46,0.9,58
곡류 및 그 제품,"국수,말린것",0.75,0.11,0.05,0.1,0.12,0.16,0.46,0.98,1.52,1.7,3.76,38
곡류 및 그 제품,"국수,삶은것",0.83,0.15,0.13,0.13,0.15,0.38,0.64,0.83,1.41,1.99,3.97,28
곡류 및 그 제품,라면,1.44,0.1,0.09,0.22,0.31,0.64,1.47,1.97,2.55,2.77,3.57,98
곡류 및 그 제품,"과자,비스켓,쿠키",0.7,0.09,0.01,0.05,0.11,0.2,0.43,1.02,1.4,2.09,3.68,79
곡류 및 그 제품,샌드위치,3.87,0.12,0.56,1.76,2.18,2.87,3.57,4.53,6.06,6.93,8.59,45
곡류 및 그 제품,"과자,스낵과자",0.68,0.06,0.03,0.04,0.1,0.29,0.52,0.94,1.46,1.6,1.75,36
곡류 및 그 제품,"빵,잼,팥소등",1.43,0.21,0.15,0.16,0.19,0.46,1.32,1.87,2.56,3.06,4.93,31
곡류 및 그 제품,"빵,식빵",1.61,0.16,0.14,0.25,0.38,0.53,1.09,2.47,3.14,4.34,5.19,53
곡류 및 그 제품,초코파이,0.89,0.05,0.27,0.27,0.33,0.52,0.7,1.06,1.48,1.6,2.4,20
곡류 및 그 제품,케이크,2.42,0.44,0.32,0.33,0.63,1.01,1.69,2.81,5.27,6.95,7.44,26
곡류 및 그 제품,보리,0.26,0.02,0.02,0.03,0.05,0.1,0.17,0.34,0.56,0.73,1.24,122
곡류 및 그 제품,수수,0.1,0.03,0.01,0.01,0.01,0.02,0.04,0.09,0.32,0.33,0.38,21
곡류 및 그 제품,시리얼,0.54,0.06,0.01,0.05,0.14,0.25,0.42,0.79,1.06,1.2,1.43,37
곡류 및 그 제품,현미,0.22,0.02,0.01,0.01,0.03,0.07,0.11,0.25,0.56,0.73,1.41,129
곡류 및 그 제품,백미,1.82,0.07,0.06,0.28,0.5,0.91,1.58,2.4,3.31,4.05,5.57,411
곡류 및 그 제품,찹쌀,0.19,0.03,0,0,0.01,0.04,0.1,0.22,0.57,0.73,1.27,81
곡류 및 그 제품,밥,2.62,0.19,0.1,0.45,0.63,1.33,2.35,3.21,4.31,5.32,9.48,105
곡류 및 그 제품,"떡,가래떡/백설기",0.94,0.12,0.02,0.03,0.03,0.07,0.49,1.55,2.37,2.81,3.85,80
곡류 및 그 제품,옥수수,0.98,0.23,0,0.02,0.03,0.06,0.16,1.8,2.78,3.45,3.97,34
곡류 및 그 제품,조,0.04,0.01,0,0,0,0.01,0.02,0.05,0.08,0.12,0.25,52
곡류 및 그 제품,만두,1.13,0.05,0,0,0.06,0.35,0.71,1.57,2.8,3.22,4.07,30
곡류 및 그 제품,"밥,볶음밥/덮밥",3.09,0.09,0.66,0.76,1.16,2.33,2.76,3.94,4.85,4.91,4.94,22
감자 및 전분류,감자,0.76,0.08,0,0.02,0.05,0.19,0.48,0.77,1.58,2.7,4.1,119
감자 및 전분류,감자튀김,0.83,0.07,0.07,0.23,0.29,0.52,0.74,1,1.25,1.42,2.34,42
감자 및 전분류,고구마,1,0.19,0,0,0.01,0.03,0.2,1.43,2.94,4.41,5.93,44
감자 및 전분류,전분,0.38,0.05,0,0,0,0.01,0.21,0.49,1.19,1.61,1.69,36
감자 및 전분류,당면,0.17,0.03,0,0.01,0.02,0.04,0.08,0.19,0.4,0.59,1.12,64
당류 및 그 제품,꿀,0.08,0.03,0,0,0,0,0.01,0.09,0.23,0.4,0.52,29
당류 및 그 제품,당밀/시럽,0.35,0.04,0.01,0.06,0.13,0.22,0.26,0.45,0.54,0.8,1.06,30
당류 및 그 제품,물엿/조청,0.1,0.01,0,0,0.01,0.01,0.04,0.09,0.28,0.38,0.76,256
당류 및 그 제품,설탕,0.07,0.01,0,0,0,0.01,0.02,0.07,0.15,0.26,0.86,338
당류 및 그 제품,초콜릿,0.4,0.04,0.02,0.05,0.07,0.12,0.36,0.52,0.91,0.93,1.14,33
당류 및 그 제품,"매실,농축액",0.04,0.01,0,0,0,0,0.01,0.03,0.1,0.2,0.4,112
두류 및 그 제품,대두,0.11,0.01,0,0.01,0.01,0.03,0.08,0.13,0.23,0.34,0.48,87
두류 및 그 제품,두부,0.75,0.12,0,0,0.01,0.07,0.4,0.98,1.82,2.12,4.88,142
두류 및 그 제품,완두콩,0.09,0.02,0,0,0,0,0.05,0.15,0.29,0.31,0.34,25
종실류 및 그 제품,들깨,0.03,0.01,0,0,0,0,0.01,0.02,0.08,0.12,0.19,40
종실류 및 그 제품,땅콩,0.13,0.07,0,0,0,0.01,0.01,0.04,0.27,0.9,1.23,32
종실류 및 그 제품,아몬드,0.21,0.05,0,0.01,0.01,0.03,0.08,0.17,0.77,0.94,1.07,26
종실류 및 그 제품,"깨,흰깨",0.02,0,0,0,0,0,0.01,0.01,0.03,0.05,0.18,315
종실류 및 그 제품,깨소금,0.02,0.01,0,0,0,0,0,0,0.01,0.17,0.25,25
채소류,고사리,0.5,0.04,0.05,0.06,0.06,0.18,0.38,0.72,0.81,0.84,1.84,21
채소류,풋고추,0.05,0.01,0,0,0,0,0.02,0.04,0.09,0.23,0.4,217
채소류,붉은고추,0.02,0.01,0,0,0,0,0,0.01,0.02,0.04,0.36,66
채소류,고춧잎,0.02,0.01,0,0,0,0,0,0.01,0.01,0.08,0.18,21
